,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,pow_max,channel_MISSING,channel_ewpakwlliwisiwduibdlfmalxowmwpci,channel_foosdfpfkusacimwkcsosbicdxkicaua,channel_lmkebamcaaclubfxadlmueccxoimlema,channel_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,churn,churn_probability
0,4.173390251465195,4.193597610298094,3.165541076722373,3.1683678240260544,0.0,2.0738282844011087,0.114667,0.099548,40.606701,1,2.1509405539654773,3.24,3.24,2,181.83,17.320999999999998,0,0,1,0,0,0,0,1,0,0.073
1,4.0750357259221905,0.0,3.0034605321095067,3.3059980295498876,30.0,1.2550311633455513,0.198096,0.0,46.30537836,0,2.30612467073653,30.9,30.9,2,85.22,13.2,0,0,1,0,0,0,0,1,0,0.119
2,3.848435455331471,0.0,0.0,2.756567650130143,0.0,1.2893659515200318,0.141434,0.0,44.31137796,0,0.0,10.08,10.08,1,46.23,10.39,0,0,1,0,0,0,0,1,0,0.046
3,4.345432547499147,0.0,0.0,3.516690026582976,0.0,1.3049211619008918,0.142996,0.0,44.31137796,0,0.0,29.76,29.76,1,317.74,13.2,0,0,1,0,0,0,0,1,0,0.378
4,4.185655458920215,0.0,3.355834495884936,3.2081483238234627,0.0,2.1230672437365663,0.120372,0.103487,40.606701,0,2.3612933242435754,26.76,26.76,1,190.7,19.8,0,0,1,0,0,0,1,0,0,0.109
5,4.035629827790439,0.0,3.1166077439882485,3.059885138559698,0.0,1.1714339009430084,0.142881,0.0,45.30837756,0,2.0499541480220462,17.64,17.64,1,97.16,12.5,0,0,1,0,0,0,0,1,0,0.081
6,5.962232916415726,0.0,4.8223250249151945,3.504776596038832,0.0,1.4442009888641596,0.1640579999999999,0.086163,44.31137796,0,0.0,23.4,23.4,1,336.61,10.392,1,0,0,0,0,0,1,0,0,0.065
7,3.413467412985825,0.0,0.0,2.594867472862688,0.0,1.3117538610557542,0.146348,0.0,45.80687796,0,0.0,28.56,28.56,1,54.63,11.4,0,0,0,1,0,1,0,0,0,0.063
8,6.758264432290261,0.0,5.887169273453673,3.392095205747934,0.0,2.161906792067279,0.115174,0.098837,40.606701,0,2.429558499461421,15.24,15.24,1,291.83,19.8,0,0,0,1,0,0,0,1,0,0.019
9,6.194266459670151,5.609590140953809,5.136035299737171,3.8902113666211715,0.0,1.9491947742379823,0.1640579999999999,0.086163,44.31137796,1,0.0,29.76,29.76,2,299.75,13.2,0,0,0,1,0,1,0,0,0,0.017
